db,cets,name
1,IC.REG.DURS.FE.DY.DRFN,Starting a business: Time - Women (days)- Score
1,IC.REG.DURS.MA.DY,Starting a business: Time - Men (days)
1,IC.REG.DURS.MA.DY.DFRN,Starting a business: Time - Men (days) - Score
1,IC.REG.MIN.CAP,Starting a business: Minimum capital (% of income per capita)
1,IC.REG.PROC.FE.NO,Starting a business: Procedures required - Women (number)
1,IC.REG.PROC.FE.NO.DFRN,Starting a business: Procedures required - Women (number) - Score
1,IC.REG.PROC.MA.NO,Starting a business: Procedures required - Men (number)
1,IC.REG.PROC.MA.NO.DFRN,Starting a business: Procedures required - Men (number) - Score
1,IC.REG.PRRT.COST.PRT.VAL,Registering property: Cost (% of property value)
1,IC.REG.PRRT.COST.PRT.VAL.DFRN,Registering property: Cost (% of property value) - Score
1,IC.REG.PRRT.DFRN.DB0515,Registering property (DB05-15 methodology) - Score
1,IC.REG.PRRT.DFRN.DB16,Registering property (DB16 methodology) - Score
1,IC.REG.PRRT.DFRN.DB1719,Registering property (DB17-20 methodology) - Score
1,IC.REG.PRRT.DURS.TM,Registering property: Time (days)
1,IC.REG.PRRT.DURS.TM.DRFN,Registering property: Time (days) - Score
1,IC.REG.PRRT.EQACCS.XD.08.DB1619,Registering property: Equal access to property rights index (-2-0) (DB17-20 methodology)
1,IC.REG.PRRT.GEO.COVR.XD.08.DB1619,Registering property: Geographic coverage index (0-8) (DB16-20 methodology)
1,IC.REG.PRRT.LAND.DISP.XD.08.DB1619,Registering property: Land dispute resolution index (0-8) (DB16-20 methodology)
1,IC.REG.PRRT.LNDADM.GEN.XD.030.DB1719.DFRN,Registering property: Quality of land administration index with Gender (0-30) (DB17-19 methodology) - Score
1,IC.REG.PRRT.PROC.NO,Registering property: Procedures (number)
1,IC.REG.PRRT.PROC.NO.DFRN,Registering property: Procedures (number) - Score
1,IC.REG.PRRT.QUAL.LNDADM.XD.030.DB16,Registering property: Quality of land administration index (0-30) (DB17-20 methodology)
1,IC.REG.PRRT.QUAL.LNDADM.XD.030.DB16.DFRN,Registering property: Quality of land administration index (0-30) (DB17-20 methodology) - Score
1,IC.REG.PRRT.QUAL.LNDADM.XD.030.DB1719,Registering property: Quality of land administration index (0-30) (DB17-19 methodology)
1,IC.REG.PRRT.REG.RK.DB19,Rank: Registering property (1=most business-friendly regulations)
1,IC.REG.PRRT.RELI.INFR.XD.09.DB1619,Registering property: Reliability of infrastructure index (0-8) (DB16-20 methodology)
1,IC.REG.PRRT.TRAP.INFO.XD.06.DB1619,Registering property: Transparency of information index (0-6) (DB16-20 methodology)
1,IC.REG.STRT.BUS.DFRN,Starting a business - Score
1,IC.REG.STRT.BUS.RK.DB19,Rank: Starting a business (1=most business-friendly regulations)
1,OTHR.TAX.PAID.ZS,Other taxes (% of profits)
1,PAY.TAX.COIT.AU.HRS.DB1719,Paying taxes: Time to comply with corporate income tax correction (hours) (DB17-20 methodology)
1,PAY.TAX.COIT.AU.HRS.TM.DB1719.DFRN,Paying taxes: Time to comply with corporate income tax correction (hours) (DB17-20 methodology) - Score
1,PAY.TAX.COIT.AU.WKS.DB1719,Paying taxes: Time to complete a corporate income tax correction (weeks) (DB17-20 methodology)
1,PAY.TAX.COIT.WKS.TM.DB1719.DFRN,Paying taxes: Time to complete a corporate income tax correction (weeks) (DB17-20 methodology) - Score
1,PAY.TAX.DB0616.DFRN,Paying taxes (DB06-16 methodology) - Score
1,PAY.TAX.DB1719.DRFN,Paying taxes (DB17-20 methodology) - Score
1,PAY.TAX.LABR.TAX.CONTR.ZS,Paying taxes: Labor tax and contributions (% of profits)
1,PAY.TAX.POST.FIL.XD.0100.DB1719.DFRN,Paying taxes: Postfiling index (0-100) (DB17-20 methodology) - Score
1,PAY.TAX.PRFT.CP.ZS,Paying taxes: Profit tax (% of profits)
1,PAY.TAX.PYMT.FREQ.NO,Paying taxes: Payments (number per year)
1,PAY.TAX.PYMT.NO.DFRN,Paying taxes: Payments per year (number per year) - Score
1,PAY.TAX.RK.DB19,Rank: Paying taxes (1=most business-friendly regulations)
1,PAY.TAX.TM,Paying taxes: Time (hours per year)
1,PAY.TAX.TM.DFRN,Paying taxes: Time (hours per year) - Score
1,PAY.TAX.TOT.TAX.RT.ZS,Paying taxes: Total tax and contribution rate (% of profit)
1,PAY.TAX.TOT.TAX.RT.ZS.DRFRN,Paying taxes: Total tax and contribution rate (% of profit) - Score
1,PAY.TAX.VAT.REF.OBT.WKS.TM.DB1719,Paying taxes: Time to obtain VAT refund (weeks) (DB17-20 methodology)
1,PAY.TAX.VAT.REF.OBT.WKS.TM.DB1719.DFRN,Paying taxes: Time to obtain VAT refund (weeks) (DB17-20 methodology) - Score
1,PAY.TAX.VAT.REFU.COMP.HRS.TM.DB1719,Paying taxes: Time to comply with VAT refund (hours) (DB17-20 methodology)
1,PAY.TAX.VAT.REFU.COMP.HRS.TM.DB1719.DFRN,Paying taxes: Time to comply with VAT refund (hours) (DB17-20 methodology) - Score
1,PROT.MINOR.INV.DFRN.DB0614,Protecting minority investors (DB06-14 methodology) - Score
1,PROT.MINOR.INV.DFRN.DB1519,Protecting minority investors (DB15-20 methodology) - Score
1,PROT.MINOR.INV.EASE.SHARE.LGL.XD.010.DB0614,Protecting minority investors: Ease of shareholder suits index (0-10) (DB06-14 methodology)
1,PROT.MINOR.INV.EASE.SHARE.LGL.XD.010.DB1519,Protecting minority investors: Ease of shareholder suits index (0-10) (DB15-20 methodology)
1,PROT.MINOR.INV.EASE.SSI.XD.0010.DB0614.DFRN,Protecting minority investors: Ease of shareholder suits index (0-10) (DB06-14 methodology) - Score
1,PROT.MINOR.INV.EASE.SSI.XD.0010.DB1519.DFRN,Protecting minority investors: Ease of shareholder suits index (0-10) (DB15-20 methodology) - Score
1,PROT.MINOR.INV.EXT.BUS.DISC.010.XD,Protecting minority investors: Extent of disclosure index (0-10)
1,PROT.MINOR.INV.EXT.CONFL.INTER.XD.010.DB1519,Protecting minority investors: Extent of conflict of interest regulation index (0-10) (DB15-19 methodology)
1,PROT.MINOR.INV.EXT.CORP.TRANP.XD.0010.DB1519,Protecting minority investors: Extent of corporate transparency index (0-7) (DB15-20 methodology)
1,PROT.MINOR.INV.EXT.CORP.TRANS.XD.010.DB1519.DFRN,Protecting minority investors: Extent of corporate transparency index (0-7) (DB15-20 methodology) - Score
1,PROT.MINOR.INV.EXT.DIR.LBL.010.XD.DFRN,Protecting minority investors: Extent of director liability index (0-10) - Score
1,PROT.MINOR.INV.EXT.DISC.010.XD.DFRN,Protecting minority investors: Extent of disclosure index (0-10) - Score
1,PROT.MINOR.INV.EXT.OWNR.CONT.XD.0100.DB1519,Protecting minority investors: Extent of ownership and control index (0-7) (DB15-20 methodology)
1,PROT.MINOR.INV.EXT.OWNR.CONTL.010.XD.DFRN,Protecting minority investors: Extent of ownership and control index (0-7) (DB15-20 methodology) - Score
1,PROT.MINOR.INV.EXT.SHARE.GOV.XD.010.DB1519,Protecting minority investors: Extent of shareholder governance index (0-10) (DB15-19 methodology)
1,PROT.MINOR.INV.EXT.SHARE.RTS.XD.010.DB1519,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology)
1,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score
1,PROT.MINOR.INV.IC.PRIN.EXT.DIR.LGL.010.XD,Protecting minority investors: Extent of director liability index (0-10)
1,PROT.MINOR.INV.IC.PRIN.MINOR.RK,Rank: Protecting minority investors (1=most business-friendly regulations)
1,PROT.MINOR.INV.STRENG.INV.PROT.XD.010.DB0614,Protecting minority investors: Strength of investor protection index (0-10) (DB06-14 methodology)
1,PROT.MINOR.INV.STRENG.MIN.INV.PROT.XD.010.DB0614,Protecting minority investors: Strength of minority investor protection index (0-50) (DB15-20 methodology)
1,RESLV.ISV.COPR.03.XD.DB1519,Resolving insolvency: Commencement of proceedings index (0-3) (DB15-20 methodology)
1,RESLV.ISV.COST.ZS,Resolving insolvency: Cost (% of estate)
1,RESLV.ISV.CPI.04.XD.DB1519,Resolving insolvency: Creditor participation index (0-4) (DB15-20 methodology)
1,RESLV.ISV.DB0414.DFRN,Resolving insolvency (DB04-14 methodology) - Score
1,RESLV.ISV.DB1519.DFRN,Resolving insolvency - Score
1,RESLV.ISV.DFRN.RCOV.RT,Resolving insolvency: Recovery rate (cents on the dollar) - Score
1,RESLV.ISV.DURS.YR,Resolving insolvency: Time (years)
1,RESLV.ISV.MGDA.XD.DB1519,Resolving insolvency: Management of debtor's assets index (0-6) (DB15-20 methodology)
1,RESLV.ISV.OTCM,Resolving insolvency: Outcome (0 as piecemeal sale and 1 as going concern)
1,RESLV.ISV.RCOV.RT,Resolving insolvency: Recovery rate (cents on the dollar)
1,RESLV.ISV.RCOV.RT.016.DB1519.DFRN,Resolving insolvency: Strength of insolvency framework index (0-16) - Score
1,RESLV.ISV.RK.DB19,Rank: Resolving insolvency (1=most business-friendly regulations)
1,RESLV.ISV.ROPC.03.XD.DB1519,Reorganization proceedings index (0-3) (DB15-20 methodology)
1,RESLV.ISV.SOIF.06.DB1519,Resolving insolvency: Strength of insolvency framework index (0-16)
1,TRD.ACRS.BRDR.DB0615.DFRN,Trading across borders (DB06-15 methodology) - Score
1,TRD.ACRS.BRDR.DB1619.DFRN,Trading across borders (DB16-20 methodology) - Score
1,TRD.ACRS.BRDR.DOC.COMP.HR.DB1619,Time to export: Documentary compliance (hours) (DB16-20 methodology)
1,TRD.ACRS.BRDR.DOCS.EXPT.NO.DB0615,Trading across borders: Documents to export (number) (DB06-15 methodology)
1,TRD.ACRS.BRDR.DOCS.EXPT.NO.DB0615.DFRN,Trading across borders: Documents to export (number) (DB06-15 methodology) - Score
1,TRD.ACRS.BRDR.DOCS.IMP.NO.DB0615,Trading across borders: Documents to import (number) (DB06-15 methodology)
1,TRD.ACRS.BRDR.DOCS.IMP.NO.DB0615.DFRN,Trading across borders: Documents to import (number) (DB06-15 methodology) - Score
1,TRD.ACRS.BRDR.EXPT.BRDR.COMP.HR.DB1619,Time to export: Border compliance (hours) (DB16-20 methodology)
1,TRD.ACRS.BRDR.EXPT.COST.BRDR.COMP.CD.DB1619,Trading across borders: Cost to export: Border compliance (USD) (DB16-20 methodology)
1,TRD.ACRS.BRDR.EXPT.COST.BRDR.COMP.CD.DB1619.DFRN,Trading across borders: Cost to export: Border compliance (USD) (DB16-20 methodology) - Score
1,TRD.ACRS.BRDR.EXPT.COST.CD.DB0615,Trading across borders: Cost to export (US$ per container deflated) (DB06-15 methodology)
1,TRD.ACRS.BRDR.EXPT.COST.CD.DB0615.DFRN,Trading across borders: Cost to export (US$ per container) (DB06-15 methodology) - Score
1,TRD.ACRS.BRDR.EXPT.COST.DOC.COMP.CD.DB1619,Trading across borders: Cost to export: Documentary compliance (USD) (DB16-20 methodology)
1,TRD.ACRS.BRDR.EXPT.COST.DOC.COMP.CD.DB1619.DFRN,Trading across borders: Cost to export: Documentary compliance (USD) (DB16-20 methodology) - Score
1,TRD.ACRS.BRDR.EXPT.DURS.DY.DB0615,Time to export (days) (DB06-15 methodology)
1,TRD.ACRS.BRDR.EXPT.TM.BRDR.COMP.HR.DB1619.DFRN,Trading across borders: Time to export: Border compliance (hours) (DB16-20 methodology) - Score
1,TRD.ACRS.BRDR.EXPT.TM.DOC.COMP.HR.DB1619.DFRN,Trading across borders: Time to export: Documentary compliance (hours) (DB16-20 methodology) - Score
1,TRD.ACRS.BRDR.EXPT.TM.DY.DB0615.DFRN,Trading across borders: Time to export (days) (DB06-15 methodology) - Score
1,TRD.ACRS.BRDR.IMP.BRDR.COMP.HR.DB1619,Time to import: Border compliance (hours) (DB16-20 methodology)
1,TRD.ACRS.BRDR.IMP.COST.BRDR.COMP.CD.DB1619,Trading across borders: Cost to import: Border compliance (USD) (DB16-20 methodology)
1,TRD.ACRS.BRDR.IMP.COST.BRDR.COMP.CD.DB1619.DFRN,Trading across borders: Cost to import: Border compliance (USD) (DB16-20 methodology) - Score
1,TRD.ACRS.BRDR.IMP.COST.CD.DB0615,Trading across borders: Cost to import (US$ per container deflated)(DB06-15 methodology)
1,TRD.ACRS.BRDR.IMP.COST.CD.DB0615.DFRN,Trading across borders: Cost to import (US$ per container)(DB06-15 methodology) - Score
1,TRD.ACRS.BRDR.IMP.COST.DOC.COMP.CD.DB1619,Trading across borders: Cost to import: Documentary compliance (USD) (DB16-20 methodology)
1,TRD.ACRS.BRDR.IMP.COST.DOC.COMP.CD.DB1619.DFRN,Trading across borders: Cost to import: Documentary compliance (USD) (DB16-20 methodology) - Score
1,TRD.ACRS.BRDR.IMP.DOC.COMP.HR.DB1619,Time to import: Documentary compliance (hours) (DB16-20 methodology)
1,TRD.ACRS.BRDR.IMP.DURS.DY.DB0615,Time to import (days) (DB06-15 methodology)
1,TRD.ACRS.BRDR.IMP.TM.BRDR.COMP.HR.DB1619.DFRN,Trading across borders: Time to import: Border compliance (hours) (DB16-20 methodology) - Score
1,TRD.ACRS.BRDR.IMP.TM.DOC.COMP.HR.DB1619.DFRN,Trading across borders: Time to import: Documentary compliance (hours) (DB16-20 methodology) - Score
1,TRD.ACRS.BRDR.IMP.TM.DY.DB0615.DFRN,Trading across borders: Time to import (days) (DB06-15 methodology) - Score
1,TRD.ACRS.BRDR.RK.DB19,Rank: Trading across borders (1=most business-friendly regulations)
2,AG.AGR.TRAC.NO,"Agricultural machinery, tractors"
2,AG.CON.FERT.PT.ZS,Fertilizer consumption (% of fertilizer production)
2,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land)
2,AG.LND.AGRI.K2,Agricultural land (sq. km)
2,AG.LND.AGRI.ZS,Agricultural land (% of land area)
2,AG.LND.ARBL.HA,Arable land (hectares)
2,AG.LND.ARBL.HA.PC,Arable land (hectares per person)
2,AG.LND.ARBL.ZS,Arable land (% of land area)
2,AG.LND.CREL.HA,Land under cereal production (hectares)
2,AG.LND.CROP.ZS,Permanent cropland (% of land area)
2,AG.LND.EL5M.RU.K2,Rural land area where elevation is below 5 meters (sq. km)
2,AG.LND.EL5M.RU.ZS,Rural land area where elevation is below 5 meters (% of total land area)
2,AG.LND.EL5M.UR.K2,Urban land area where elevation is below 5 meters (sq. km)
2,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area)
2,AG.LND.EL5M.ZS,Land area where elevation is below 5 meters (% of total land area)
2,AG.LND.FRST.K2,Forest area (sq. km)
2,AG.LND.FRST.ZS,Forest area (% of land area)
2,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land)
2,AG.LND.PRCP.MM,Average precipitation in depth (mm per year)
2,AG.LND.TOTL.K2,Land area (sq. km)
2,AG.LND.TOTL.RU.K2,Rural land area (sq. km)
2,AG.LND.TOTL.UR.K2,Urban land area (sq. km)
2,AG.LND.TRAC.ZS,"Agricultural machinery, tractors per 100 sq. km of arable land"
2,AG.PRD.CREL.MT,Cereal production (metric tons)
2,AG.PRD.CROP.XD,Crop production index (2004-2006 = 100)
2,AG.PRD.FOOD.XD,Food production index (2004-2006 = 100)
2,AG.PRD.LVSK.XD,Livestock production index (2004-2006 = 100)
2,AG.SRF.TOTL.K2,Surface area (sq. km)
2,AG.YLD.CREL.KG,Cereal yield (kg per hectare)
2,BG.GSR.NFSV.GD.ZS,Trade in services (% of GDP)
2,BM.GSR.CMCP.ZS,"Communications, computer, etc. (% of service imports, BoP)"
2,BM.GSR.FCTY.CD,"Primary income payments (BoP, current US$)"
2,BM.GSR.GNFS.CD,"Imports of goods and services (BoP, current US$)"
2,BM.GSR.INSF.ZS,"Insurance and financial services (% of service imports, BoP)"
2,BM.GSR.MRCH.CD,"Goods imports (BoP, current US$)"
2,BM.GSR.NFSV.CD,"Service imports (BoP, current US$)"
2,BM.GSR.ROYL.CD,"Charges for the use of intellectual property, payments (BoP, current US$)"
2,BM.GSR.TOTL.CD,"Imports of goods, services and primary income (BoP, current US$)"
2,BM.GSR.TRAN.ZS,"Transport services (% of service imports, BoP)"
2,BM.GSR.TRVL.ZS,"Travel services (% of service imports, BoP)"
2,BM.KLT.DINV.CD.WD,"Foreign direct investment, net outflows (BoP, current US$)"
2,BM.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net outflows (% of GDP)"
2,BM.TRF.PRVT.CD,"Secondary income, other sectors, payments (BoP, current US$)"
2,BM.TRF.PWKR.CD.DT,"Personal remittances, paid (current US$)"
2,BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)"
2,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP)
2,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)"
2,BN.GSR.FCTY.CD,"Net primary income (BoP, current US$)"
2,BN.GSR.GNFS.CD,"Net trade in goods and services (BoP, current US$)"
2,BN.GSR.MRCH.CD,"Net trade in goods (BoP, current US$)"
2,BN.KAC.EOMS.CD,"Net errors and omissions (BoP, current US$)"
2,BN.KLT.DINV.CD,"Foreign direct investment, net (BoP, current US$)"
2,BN.KLT.PTXL.CD,"Portfolio investment, net (BoP, current US$)"
2,BN.RES.INCL.CD,"Reserves and related items (BoP, current US$)"
2,BN.TRF.CURR.CD,"Net secondary income (BoP, current US$)"
2,BN.TRF.KOGT.CD,"Net capital account (BoP, current US$)"
2,BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)"
2,BX.GRT.TECH.CD.WD,"Technical cooperation grants (BoP, current US$)"
2,BX.GSR.CCIS.CD,"ICT service exports (BoP, current US$)"
2,BX.GSR.CCIS.ZS,"ICT service exports (% of service exports, BoP)"
2,BX.GSR.CMCP.ZS,"Communications, computer, etc. (% of service exports, BoP)"
2,BX.GSR.FCTY.CD,"Primary income receipts (BoP, current US$)"
2,BX.GSR.GNFS.CD,"Exports of goods and services (BoP, current US$)"
2,BX.GSR.INSF.ZS,"Insurance and financial services (% of service exports, BoP)"
2,BX.GSR.MRCH.CD,"Goods exports (BoP, current US$)"
2,BX.GSR.NFSV.CD,"Service exports (BoP, current US$)"
2,BX.GSR.ROYL.CD,"Charges for the use of intellectual property, receipts (BoP, current US$)"
2,BX.GSR.TOTL.CD,"Exports of goods, services and primary income (BoP, current US$)"
2,BX.GSR.TRAN.ZS,"Transport services (% of service exports, BoP)"
2,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)"
2,BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)"
2,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)"
2,BX.PEF.TOTL.CD.WD,"Portfolio equity, net inflows (BoP, current US$)"
2,BX.TRF.CURR.CD,"Secondary income receipts (BoP, current US$)"
